date;js;php;python;java;c
20240113;1218;434;642;1343;348
20240115;1013;420;585;1196;306
20240116;1060;424;629;1264;312
20240119;1154;399;722;1330;370
20240124;1143;419;756;1347;328
20240125;1174;394;773;1372;333
20240126;1216;400;817;1418;328
20240130;1252;389;829;1431;355
20240201;1333;385;908;1543;399
20240208;1370;432;878;1552;392
20240213;1337;406;863;1472;341
20240213;1381;406;865;1475;352
20240302;1273;401;665;1146;301
20240306;1320;3871000018000513000150002426000100001015000220004500600041800025000351800024000121001820032006080316000210005416000220003600090003312000150001500018000130001800021000015000415000180003130001600014000180004152350030200522000270001000015000180001000010000160007170002200010235006000538000150001018000240003500085004800017000249514000220003140002000017200275004140002000091500020000120000300001000013000100001300025500850015000250004120001800091000014000918500235002915000175004120001800099216000250009800010000900013000800012000284001428023121040018000340007000135004000913000170009120001500091000019000102050026000213000170004470001400020000300004231000020000547000150001000015000480008500420500225004449000170005800012000669000120008;700;1103;316
20240317;null;null;null;null;null
20240317;null;null;null;null;null
20240317;null;null;null;null;null
20240317;null;null;null;null;null
20240317;1190;38115000200001200003000023200608031000015000380001800080008500100001400091840023000445009000120001800099151400022000315000175004492226802604015117001800010800015000109000130008000100001000018000560001000010450060004180002500038000150001400022000318500235002140002000095160002100051344021000120001500091000019000101500018000421800024000205002600021210018200518000240003121040091900026000212000130001517200275001500019000223150002500048000130009000130001500022000107000150003500600053172002750041300015000242160002000028000120001600022000312000960009000500085004340007000131300018000223500302005220002700080001000017000220001050001500012000200009000120001400020000200003000044100002000045800010000441000015000412000150005200002500053609000170006140001800063900015000678000120009;724;1030;337
