time;us_java_dev;us_driver;us_accountant;us_attorney;us_sales_manager;us_nurse;uk_java_dev;uk_driver;uk_accountant;uk_attorney;uk_sales_manager;uk_nurse
20230423;null;63654;42001;null;33327;103096;3222;13099;13937;null;15928;22173
20230424;15035;63592;41889;null;33294;102880;3222;13167;13867;null;15895;22099
20230424;14915;63160;41696;null;33075;102520;3208;12853;13904;null;15627;21943
20230425;14938;null;41991;null;33275;103081;3210;13183;13938;6957;15907;21909
20230426;14835;63897;null;null;33289;103133;3185;13259;14130;null;null;21759
20230502;null;null;null;null;null;null;null;null;null;null;null;null
20230516;14379;65610;41596;null;32821;102432;3023;13618;14023;null;15879;23092
20230529;13753;64815;40296;null;32215;100237;2860;13751;13596;null;15426;23519
20230530;null;64152;39554;11679;null;99027;2870;13324;13394;null;null;22490
20230727;null;null;null;null;null;null;null;null;null;null;null;null
20231015;null;null;null;null;null;null;null;null;null;null;null;null
