url;marker;regex;dataBaseName;tableName;columnName
https://hh.ru/search/vacancy?text=Java&only_with_salary=false&specialization=1.221&area=1&enable_snippets=true&clusters=true&no_magic=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMoscowJavaDev
https://hh.ru/search/vacancy?text=C%2B%2B&only_with_salary=false&specialization=1.221&area=1&enable_snippets=true&clusters=true&no_magic=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMoscowCplplDev
https://hh.ru/search/vacancy?text=C%23&only_with_salary=false&clusters=true&area=1&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMoscowCshDev
https://hh.ru/search/vacancy?text=Swift&only_with_salary=false&clusters=true&area=1&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMoscowSwiftDev
https://hh.ru/search/vacancy?text=Python&only_with_salary=false&clusters=true&area=1&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMoscowPythonDev
https://hh.ru/search/vacancy?text=PHP&only_with_salary=false&clusters=true&area=1&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMoscowPhpDev
https://hh.ru/search/vacancy?text=Java+junior&only_with_salary=false&specialization=1.221&area=1&enable_snippets=true&clusters=true&no_magic=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMoscowJavaJun
https://hh.ru/search/vacancy?text=Java&only_with_salary=false&specialization=1.221&area=2&enable_snippets=true&clusters=true&no_magic=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacPetersburgJavaDev
https://hh.ru/search/vacancy?text=C%2B%2B&only_with_salary=false&specialization=1.221&area=2&enable_snippets=true&clusters=true&no_magic=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacPetersburgCplplDev
https://hh.ru/search/vacancy?text=C%23&only_with_salary=false&clusters=true&area=2&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacPetersburgCshDev
https://hh.ru/search/vacancy?text=Swift&only_with_salary=false&clusters=true&area=2&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacPetersburgSwiftDev
https://hh.ru/search/vacancy?text=Python&only_with_salary=false&clusters=true&area=2&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacPetersburgPythonDev
https://hh.ru/search/vacancy?text=PHP&only_with_salary=false&clusters=true&area=2&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacPetersburgPhpDev
https://hh.ru/search/vacancy?text=Java+junior&only_with_salary=false&specialization=1.221&area=2&enable_snippets=true&clusters=true&no_magic=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacPetersburgJavaJun
https://hh.ru/search/vacancy?text=Java&only_with_salary=false&specialization=1.221&area=1002&enable_snippets=true&clusters=true&no_magic=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMinskJavaDev
https://hh.ru/search/vacancy?text=C%2B%2B&only_with_salary=false&specialization=1.221&area=1002&enable_snippets=true&clusters=true&no_magic=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMinskCplplDev
https://hh.ru/search/vacancy?text=C%23&only_with_salary=false&clusters=true&area=1002&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMinskCshDev
https://hh.ru/search/vacancy?text=Swift&only_with_salary=false&clusters=true&area=1002&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMinskSwiftDev
https://hh.ru/search/vacancy?text=Python&only_with_salary=false&clusters=true&area=1002&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMinskPythonDev
https://hh.ru/search/vacancy?text=PHP&only_with_salary=false&clusters=true&area=1002&specialization=1.221&no_magic=true&enable_snippets=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMinskPhpDev
https://hh.ru/search/vacancy?text=Java+junior&only_with_salary=false&specialization=1.221&area=1002&enable_snippets=true&clusters=true&no_magic=true&salary=&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;vacMinskJavaJun
https://hh.ru/search/resume?text=Java&logic=normal&pos=full_text&exp_period=all_time&specialization=1.221&area=1&relocation=living_or_relocation&salary_from=&salary_to=&currency_code=RUR&education=none&age_from=&age_to=&gender=unknown&order_by=publication_time&search_period=0&items_on_page=20&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMoscowJavaDev
https://hh.ru/search/resume?text=C%2B%2B&clusters=true&exp_period=all_time&logic=normal&pos=full_text&order_by=publication_time&specialization=1.221&area=1&clusters=true&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMoscowCplplDev
https://hh.ru/search/resume?text=C%23&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=1&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMoscowCshDev
https://hh.ru/search/resume?text=SWIFT&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=1&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMoscowSwiftDev
https://hh.ru/search/resume?text=Python&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=1&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMoscowPythonDev
https://hh.ru/search/resume?text=PHP&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=1&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMoscowPhpDev
https://hh.ru/search/resume?text=Java+Junior&logic=normal&pos=full_text&exp_period=all_time&specialization=1.221&area=1&relocation=living_or_relocation&salary_from=&salary_to=&currency_code=RUR&education=none&age_from=&age_to=&gender=unknown&order_by=publication_time&search_period=0&items_on_page=20&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMoscowJavaJun
https://hh.ru/search/resume?text=Java&logic=normal&pos=full_text&exp_period=all_time&specialization=1.221&area=2&relocation=living_or_relocation&salary_from=&salary_to=&currency_code=RUR&education=none&age_from=&age_to=&gender=unknown&order_by=publication_time&search_period=0&items_on_page=20&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resPetersburgJavaDev
https://hh.ru/search/resume?text=C%2B%2B&clusters=true&exp_period=all_time&logic=normal&pos=full_text&order_by=publication_time&specialization=1.221&area=2&clusters=true&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resPetersburgCplplDev
https://hh.ru/search/resume?text=C%23&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=2&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resPetersburgCshDev
https://hh.ru/search/resume?text=SWIFT&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=2&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resPetersburgSwiftDev
https://hh.ru/search/resume?text=Python&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=2&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resPetersburgPythonDev
https://hh.ru/search/resume?text=PHP&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=2&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resPetersburgPhpDev
https://hh.ru/search/resume?text=Java+Junior&logic=normal&pos=full_text&exp_period=all_time&specialization=1.221&area=2&relocation=living_or_relocation&salary_from=&salary_to=&currency_code=RUR&education=none&age_from=&age_to=&gender=unknown&order_by=publication_time&search_period=0&items_on_page=20&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resPetersburgJavaJun
https://hh.ru/search/resume?text=Java&logic=normal&pos=full_text&exp_period=all_time&specialization=1.221&area=1002&relocation=living_or_relocation&salary_from=&salary_to=&currency_code=RUR&education=none&age_from=&age_to=&gender=unknown&order_by=publication_time&search_period=0&items_on_page=20&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMinskJavaDev
https://hh.ru/search/resume?text=C%2B%2B&clusters=true&exp_period=all_time&logic=normal&pos=full_text&order_by=publication_time&specialization=1.221&area=1002&clusters=true&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMinskCplplDev
https://hh.ru/search/resume?text=C%23&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=1002&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMinskCshDev
https://hh.ru/search/resume?text=SWIFT&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=1002&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMinskSwiftDev
https://hh.ru/search/resume?text=Python&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=1002&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMinskPythonDev
https://hh.ru/search/resume?text=PHP&clusters=true&exp_period=all_time&logic=normal&pos=full_text&clusters=true&area=1002&specialization=1.221&order_by=publication_time&no_magic=false&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMinskPhpDev
https://hh.ru/search/resume?text=Java+Junior&logic=normal&pos=full_text&exp_period=all_time&specialization=1.221&area=1002&relocation=living_or_relocation&salary_from=&salary_to=&currency_code=RUR&education=none&age_from=&age_to=&gender=unknown&order_by=publication_time&search_period=0&items_on_page=20&from=suggest_post;Найдено.*По соответствию;[0-9]+;sun;itSector;resMinskJavaJun
